"","marine.region","feeding.guild"
"Acanthurus.grammoptilus","CS/N/NW/SW/TE","herbivore"
"Acanthurus.olivaceus","CS/N/NW/TE","algae/invertebrate consumer"
"Aluterus.scriptus","CS/N/NW","algae/invertebrate consumer"
"Anampses.caeruleopunctatus","NW/TE/SW/CS/SE/Lord.Howe.Island/Christmas.Island/Cocos.Keeling","invertebrate carnivore"
"Anampses.geographicus","NW/CS/SE/Lord.Howe.Island/SW/TE","invertebrate carnivore/invertebrate carnivore/invertebrate carnivore"
"Aptychotrema.vincentiana","NW/SE/SW",NA
"Austrolabrus.maculatus","NW/SW/TE","invertebrate carnivore"
"Bodianus.bilunulatus","CS/NW/SW/TE","invertebrate carnivore/invertebrate carnivore"
"Bodianus.solatus","NW","invertebrate carnivore"
"Bodianus.vulpinus","SW",NA
"Carangoides.fulvoguttatus","CS/N/NW/TE","generalist carnivore"
"Carcharhinus.plumbeus","NW/SW/TE/N/CS/Lord.Howe.Island","generalist carnivore/generalist carnivore"
"Chaetodon.assarius","NW/SW","algae/invertebrate consumer/algae/invertebrate consumer"
"Chaetodon.auriga","CS/N/NW/SW/TE","invertebrate carnivore/invertebrate carnivore"
"Chaetodon.lunula","NW/TE","invertebrate carnivore"
"Chaetodontoplus.personifer","NW/SW","invertebrate carnivore/invertebrate carnivore"
"Cheilodactylus.gibbosus","NW/SW","algae/invertebrate consumer"
"Choerodon.rubescens","NW/SW","invertebrate carnivore"
"Chrysophrys.auratus","CS/SE/SW/NW/TE","demersal invertivore/generalist carnivore/generalist carnivore"
"Coris.auricularis","NW/SW",NA
"Coris.caudimacula","NW","invertebrate carnivore"
"Decapterus.muroadsi","SW/TE/SE/Lord.Howe.Island/NW","invertebrate carnivore"
"Echeneis.naucrates","CS/N/NW/SW/TE","invertebrate carnivore/generalist carnivore"
"Epinephelus.areolatus","CS/N/NW","generalist carnivore"
"Epinephelus.morrhua","NW/SW",NA
"Epinephelus.rivulatus","CS/N/NW/SW","generalist carnivore"
"Eubalichthys.caeruleoguttatus","NW/SW","Invertebrate carnivore/Invertebrate carnivore"
"Galeocerdo.cuvier","CS/N/NW/SW/TE","generalist carnivore/generalist carnivore"
"Glaucosoma.buergeri","NW/SW","invertebrate carnivore/invertebrate carnivore"
"Gymnocranius.grandoculis","CS/N/NW/TE","generalist carnivore"
"Gymnothorax.nudivomer","NW/SW",NA
"Gymnothorax.thyrsoideus","NW/N/CS","invertebrate carnivore"
"Gymnothorax.woodwardi","NW/SW",NA
"Hemitriakis.falcata","NW","generalist carnivore/generalist carnivore"
"Labroides.dimidiatus","CS/N/NW/SW/TE","invertebrate carnivore/zooplanktivore"
"Lagocephalus.sceleratus","NW/SW/TE/N/CS/SE/Lord.Howe.Island","generalist carnivore"
"Lethrinus.miniatus","CS/SW/Lord.Howe.Island/NW/TE","generalist carnivore"
"Lethrinus.nebulosus","CS/N/NW/SW/TE","generalist carnivore"
"Lethrinus.punctulatus","NW","generalist carnivore/generalist carnivore"
"Lethrinus.ravus","CS/N/NW","generalist carnivore"
"Mustelus.ravidus","NW",NA
"Nelusetta.ayraud","SE/SW/TE/NW","generalist carnivore"
"Netuma.thalassina","NW/N/CS/TE","invertebrate carnivore"
"Orectolobus.hutchinsi","NW/SW",NA
"Paracirrhites.forsteri","NW","piscivore"
"Parapercis.haackei","NW/SW","Invertebrate carnivore/Invertebrate carnivore"
"Parapercis.nebulosa","NW/SW/TE/N/CS","invertebrate carnivore"
"Parma.mccullochi","NW/SW",NA
"Parupeneus.chrysopleuron","NW/SW","invertebrate carnivore"
"Parupeneus.spilurus","NW/SW/TE/CS/Lord.Howe.Island","invertebrate carnivore/invertebrate carnivore"
"Pentapodus.nagasakiensis","CS/N/NW","invertebrate carnivore"
"Pomacanthus.semicirculatus","NW/TE/SW/CS/SE/Lord.Howe.Island/Christmas.Island","algae/invertebrate consumer"
"Pristipomoides.multidens","CS/N/NW","generalist carnivore"
"Pristipomoides.typus","NW/SW/SE/TE/CS",NA
"Rachycentron.canadum","CS/N/NW/TE","generalist carnivore"
"Rhynchobatus.australiae","NW/TE/CS/N/SW","macroinvertebrate carnivore"
"Seriola.dumerili","CS/N/NW/SW/TE","generalist carnivore/generalist carnivore/generalist carnivore"
"Seriola.hippos","NW/SW/TE","generalist carnivore"
"Siganus.argenteus","CS/N/NW/TE","herbivore"
"Siganus.punctatus","TE/SW/NW/N/CS/Cocos.Keeling","algae/invertebrate consumer"
"Sphyrna.lewini","NW/SW/N/CS/TE/SE/Christmas.Island/Cocos.Keeling","generalist carnivore"
"Suezichthys.cyanolaemus","NW/SW",NA
"Taeniurops.meyeni","CS/N/NW/TE","generalist carnivore"
"Thalassoma.lutescens","CS/N/NW/SW/TE","invertebrate carnivore"
"Torquigener.pallimaculatus","NW/SW/N/CS","invertebrate carnivore"
"Zanclus.cornutus","NW/TE/N/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling","algae/invertebrate consumer"
