Scientific,Trophic Group,Substrate Group,Complexity,Water column,Night_Day,Body Length,Body Mass,Traits source ,
Bodianus_solatus,Benthic invertivore,Hard Bottom,Low,Demersal,Day,Y,,,
Carcharhinus_plumbeus,Higher carnivore,Hard Bottom,Low,Pelagic,Day,Y,,,
Chaetodon_assarius,Benthic invertivore,Hard Bottom,High,Demersal,Day,Y,,,
Choerodon albofasciatus,Benthic invertivore,Soft sediment,Low,Demersal,Day,Y,,,
Choerodon_rubescens,Benthic invertivore,Hard Bottom,Low,Demersal,Day,Y,,,
Chromis_spp,Planktivore,Hard Bottom,Medium,Demersal,Day,Y,,,
Chrysophrys_auratus,Benthic invertivore,Hard Bottom,Low,Demersal,Day,Y,,,
Coris_auricularis,Benthic invertivore,Hard Bottom,Low,Demersal,Day,Y,,,
Coris_caudimacula,Benthic invertivore,Hard Bottom,Low,Demersal,Day,Y,,,
Diagramma_pictum labiosum,Benthic invertivore,Hard Bottom,Medium,Demersal,Night,Y,,,
Gymnothorax_woodwardi,Benthic invertivore,Hard Bottom,High,Demersal,Night,580,3000,Reef Life Survey,
Lagocephalus_sceleratus,Benthic invertivore,Soft sediment,Low,Demersal,Day,Y,,,
Lethrinus_miniatus,Higher carnivore,Hard Bottom,Low,Demersal,Day,Y,,,
Lethrinus_nebulosus,Benthic invertivore,Soft sediment,Low,Demersal,Day,Y,,,
Ostorhinchus_spp,Benthic invertivore,Hard Bottom,Medium,Pelagic,Night,Y,,,
Parapercis nebulosa,Benthic invertivore,Soft sediment,Low,Demersal,Day,Y,,,
Parupeneus_spilurus,Benthic invertivore,Soft sediment,Low,Demersal,Day,Y,,,
Pentapodus_nagasakiensis,Benthic invertivore,Soft sediment,Low,Demersal,Day,Y,,,
Pristipomoides_multidens,Benthic invertivore,Hard Bottom,Medium,Demersal,Day,Y,,,
Seriola_dumerili,Higher carnivore,Hard Bottom,Low,Pelagic,Day,Y,,,
Seriola_hippos,Higher carnivore,Hard Bottom,Low,Pelagic,Day,Y,,,
Suezichthyes_cyanolaemus,Benthic invertivore,Hard Bottom,Low,Demersal,Day,Y,,,
