"","sample","total.abundance","species.richness"
"1","npz6.10",13,6
"2","npz6.13",9,6
"3","npz6.14",114,18
"4","npz6.15",1,2
"5","npz6.17",22,13
"6","npz6.18",10,3
"7","npz6.2",177,13
"8","npz6.20",32,9
"9","npz6.21",49,12
"10","npz6.22",142,10
"11","npz6.24",134,9
"12","npz6.26",167,27
"13","npz6.27",119,14
"14","npz6.28",2,3
"15","npz6.36",118,18
"16","npz6.4",47,15
"17","npz6.5",66,13
"18","npz6.6",329,14
"19","npz6.8",3,4
"20","npz6.9",23,6
"21","npz6.BOSS41",10,8
"22","npz6.C01",7,5
"23","npz6.C02",1,2
"24","npz9.1",13,8
"25","npz9.10",34,13
"26","npz9.11",10,5
"27","npz9.12",1,2
"28","npz9.13",21,11
"29","npz9.14",11,10
"30","npz9.16",7,8
"31","npz9.17",18,10
"32","npz9.18",9,6
"33","npz9.19",6,4
"34","npz9.2",3,4
"35","npz9.21",12,6
"36","npz9.22",3,4
"37","npz9.24",7,8
"38","npz9.25",12,6
"39","npz9.26",17,8
"40","npz9.27",28,10
"41","npz9.28",5,4
"42","npz9.29",27,5
"43","npz9.3",8,7
"44","npz9.30",8,6
"45","npz9.4",3,4
"46","npz9.5",92,16
"47","npz9.7",13,5
"48","npz9.8",24,9
"49","npz9.9",7,7
